season,round,date,time,referee,home_team,away_team,result,home_score,away_score,home_gk_saves,away_gk_saves,home_penalties,away_penalties,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_shots_on_target_from_penalty_area,away_shots_on_target_from_penalty_area,home_fouls,away_fouls,home_woodwork_hits,away_woodwork_hits,home_goal_chances,away_goal_chances,home_assists,away_assists,home_offsides,away_offsides,home_corner_kicks,away_corner_kicks,home_yel_cards,away_yel_cards,home_red_cards,away_red_cards,home_crosses,away_crosses,home_long_throws,away_long_throws,home_attacks_from_center,away_attacks_from_center,home_attacks_from_right,away_attacks_from_right,home_attacks_from_left,away_attacks_from_left
2005-06,6,2005-10-02,15:00,LUCA BANTI,PALERMO,EMPOLI,draw,2,2,1,9,0,0,24,4,11,3,13,1,0,0,11,10,0,0,-,-,2,0,1,3,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,6,2005-10-02,15:00,NICOLA RIZZOLI,MILAN,REGGINA,home,2,1,0,5,0,0,18,8,8,1,10,7,0,0,17,14,1,0,-,-,1,0,3,6,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,6,2005-10-02,15:00,EMIDIO MORGANTI,ROMA,ROBUR SIENA,away,2,3,1,7,0,0,16,5,9,4,7,1,0,0,21,18,0,0,-,-,7,3,6,1,15,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,6,2005-10-02,15:00,DIEGO PRESCHERN,ASCOLI,PARMA,home,3,1,5,7,0,0,15,12,10,7,5,5,0,0,19,18,0,1,-,-,4,6,0,4,4,4,3,5,0,1,0,0,0,0,0,0,0,0,0,0
2005-06,6,2005-10-02,20:30,GIANLUCA PAPARESTA,JUVENTUS,INTER,home,2,0,1,1,0,0,2,3,2,1,0,2,0,0,31,25,0,0,-,-,0,0,3,6,1,9,2,3,0,0,8,11,17,20,12,11,5,2,1,8
2005-06,6,2005-10-02,15:00,OSCAR GIRARDI,LECCE,CAGLIARI,home,3,0,4,7,1,1,13,13,10,6,3,7,0,0,25,17,0,2,-,-,0,0,3,4,5,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,7,2005-10-15,20:30,MAURO BERGONZI,JUVENTUS,MESSINA,home,1,0,3,6,0,0,12,5,8,3,4,2,0,0,26,25,1,0,-,-,3,1,5,4,6,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0
2005-06,7,2005-10-15,18:00,PAOLO TAGLIAVENTO,ROBUR SIENA,UDINESE,away,2,3,7,2,0,0,8,16,3,11,5,5,0,0,16,16,0,1,-,-,4,7,1,6,3,5,2,4,0,1,0,0,0,0,0,0,0,0,0,0
2005-06,7,2005-10-16,20:30,DOMENICO MESSINA,CAGLIARI,MILAN,away,0,2,1,2,0,0,3,2,2,2,1,0,0,0,17,20,0,0,-,-,1,1,7,2,6,5,1,1,0,0,13,8,17,12,8,12,5,4,9,6
2005-06,7,2005-10-16,15:00,MASSIMILIANO SACCANI,ASCOLI,SAMPDORIA,home,2,1,8,7,0,0,15,12,10,9,5,3,0,0,18,15,0,0,-,-,6,2,2,2,4,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0
